person,person_url,universities_category,alma_mater,awards,birth_date,birth_name,birth_place,caption,children,death_date,death_place,doctoral_advisor,doctoral_students,education,field,fields,image,image_size,imagesize,known_for,name,nationality,occupation,office,office1,office2,party,predecessor,predecessor1,predecessor2,predecessor3,president,prizes,religion,residence,signature,spouse,successor,successor1,successor2,successor3,term_end,term_end1,term_end2,term_end3,term_start,term_start1,term_start2,term_start3,work_institution,work_institutions,workplaces
Lamberto Dini,https://vi.wikipedia.org/wiki/Lamberto_Dini,Đại học Michigan,Đại học Florence; Đại học Michigan; Đại học Minnesota,,1 tháng 3 năm 1931 (  tuổi),,Florence; Toscana; Vương quốc Ý,Lamberto Dini năm 2005,,,,,,,,,Lamberto Dini datisenato 2005.jpg,,220px,,Lamberto Dini,,,,,,<small>(1996–2002)</small>; <small>(2002–2007)</small>; <small>(2007–2009)</small>; <small>(2009–2013)</small>; Dân chủ Tự do; Nhân dân Tự do; The Daisy; Đổi mới nước Ý,Silvio Berlusconi,,Susanna Agnelli,,Oscar Luigi Scalfaro,,Công giáo Roma,Lazio; Rome,Lamberto Dini signature.svg,Donatella Pasquali Zingone,Romano Prodi,,Renato Ruggiero,,17 tháng 5 năm 1996,,11 tháng 6 năm 2001,,17 tháng 1 năm 1995,,17 tháng 5 năm 1996,,,,
Langston Hughes,https://vi.wikipedia.org/wiki/Langston_Hughes,Đại học Columbia,,,1 tháng 2 năm 1901,,Hoa Kỳ; Joplin; Missouri,Langston Hughes,,22 tháng 5 năm 1967,Hoa Kỳ; New York,,,,,,LangstonHughe_25.jpg,,195px,,Langston Hughes,Mỹ,Nhà thơ; Nhà văn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Tesler,https://vi.wikipedia.org/wiki/Larry_Tesler,Đại học Stanford,Stanford University,,,Lawrence Gordon Tesler,Hoa Kỳ; New York City; The Bronx,Tesler in 2007,,,California; Hoa Kỳ; Portola Valley,<!--(or  | doctoral_advisors =)-->,,,,Human–computer interaction,Larry Tesler Smiles at Whisper.jpeg,,,Copy and paste,Larry Tesler,,,,,,,,,,,,,,,<!--(filename only)-->,Colleen Barton,,,,,,,,,,,,,,,Amazon; Apple; Xerox PARC; and Yahoo!
Lars Onsager,https://vi.wikipedia.org/wiki/Lars_Onsager,Đại học Yale,Viện Công nghệ Na Uy,,27 tháng 11 năm 1903,,Kristiana; Na Uy; Oslo,,,,Coral Gables; Florida; Mỹ,Peter Debye,Joseph L. McCauley,,Hóa học vật lý,,Onsager 1968.jpg,220px,,,Lars Onsager,,,,,,,,,,,,* Giải Nobel Hóa học năm 1968; * Giải Willard Gibbs năm 1962; * Huy chương Lorentz năm 1958; * Huân chương Khoa học Quốc gia năm 1970,,,,,,,,,,,,,,,,,,* ETH Zurich; * Đại học Brown; * Đại học Johns Hopkins; * Đại học Miami; * Đại học Yale,
Lars Peter Hansen,https://vi.wikipedia.org/wiki/Lars_Peter_Hansen,Đại học Minnesota,Đại học Chicago,,26 tháng 10 năm 1952,,Hoa Kỳ,,,,,,,,Kinh tế học,,Lars Peter Hansen photo in 2007.jpg,180px,,,Lars Peter Hansen,Hoa Kỳ,,,,,,,,,,,Giải thưởng Nobel về Khoa học kinh tế (2013),,,,,,,,,,,,,,,,,,,
Laura Chinchilla,https://vi.wikipedia.org/wiki/Laura_Chinchilla,Đại học Georgetown,Đại học Georgetown,,,,,,,,,,,,,,Laura Chinchilla Miranda with Hillary Rodham Clinton (cropped).jpg,,,,Laura Chinchilla,,,,,,Đảng Giải phóng Dân tộc,Óscar Arias,,,,,,Công giáo Rôma,,,,Luis Guillermo Solís,,,,8 tháng 5 năm 2014,,,,8 tháng 5 năm 2010,,,,,,
Laura Tyson,https://vi.wikipedia.org/wiki/Laura_Tyson,Viện Công nghệ Massachusetts,Học viện Công nghệ Massachusetts; Smith College,,,,,,,,,,,,kinh tế,,Laura Tyson.jpg,,220px,,Laura Tyson,Hoa Kỳ,,,,,,,,,,,,,Hoa Kỳ,,,,,,,,,,,,,,,,,
Lawrence Klein,https://vi.wikipedia.org/wiki/Lawrence_Klein,Viện Công nghệ Massachusetts,MIT (Ph.D.); UC Berkeley (B.A.),Giải John Bates Clark (1959); Giải Nobel Kinh tế (1980),,,Hoa Kỳ; Nebraska; Omaha,,,,,,,,Kinh tế lượng; Kinh tế vĩ mô,,,,,,Lawrence Klein,Hoa Kỳ,,,,,,,,,,,,,,<!-- file name only -->,,,,,,,,,,,,,,,,
Lawrence Summers,https://vi.wikipedia.org/wiki/Lawrence_Summers,Viện Công nghệ Massachusetts; Đại học Harvard,Harvard University; Massachusetts Institute of Technology,,,,Connecticut; Hoa Kỳ; New Haven,,,,,,,,,,Lawrence Summers 2012.jpg,,220px,,Lawrence Summers,,,Giám đốc thứ 8 của Hội đồng kinh tế Quốc gia Hoa Kỳ,Chủ tịch thứ 27 của Đại học Harvard,Bộ trưởng Ngân khố Hoa Kỳ thứ 74,Đảng Dân chủ,Keith Hennessey,Neil Rudenstine,Robert Rubin,Frank Newman,,,Judaism,,Lawrence H Summers sig.jpg,Elisa New; Victoria Perry,Gene Sperling,Derek Bok,Paul O'Neill,Stuart Eizenstat,31 tháng 12 năm 2010,20 tháng 6 năm 2006,20 tháng 1 năm 2001,1999,20 tháng 1 năm 2009,1 tháng 7 năm 2001,2 tháng 7 năm 1999,1995,,,
Leland H. Hartwell,https://vi.wikipedia.org/wiki/Leland_H._Hartwell,Viện Công nghệ Massachusetts,Học viện Công nghệ California,,,,California; Hoa Kỳ; Los Angeles,,,,,,,,Sinh học,,,,,Việc điều chỉnh chu kỳ tế bào,Leland H. Hartwell,,,,,,,,,,,,Giải Nobel Sinh lý; Y khoa (2001),,,,,,,,,,,,,,,,,,Trung tâm nghiên cứu Ung thư Fred Hutchinson; Viện thiết kế Sinh học; Đại học bang Arizona,
Leonard Peter Schultz,https://vi.wikipedia.org/wiki/Leonard_Peter_Schultz,Đại học Michigan,Đại học Albion; Đại học Michigan,,1901,,Hoa Kỳ; bang Michigan,,,,,,,,ngư học,,,250px,,,Leonard Peter Schultz,người Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viện Smithsonian
Leonid Hurwicz,https://vi.wikipedia.org/wiki/Leonid_Hurwicz,Đại học Harvard,Học viện Kinh tế - Chính trị London; Đại học Warszawa,,21 tháng 8 năm 1917 (90 tuổi),,Nga; border|20px Moskva,,,24 tháng 6 năm 2008 (90 tuổi),Hoa Kỳ; Minneapolis; Minnesota,,,,Kinh tế học,,Leonid Hurwicz.jpg,,,Lý thuyết thiết kế cơ chế,Leo Hurwicz,20px Mỹ,,,,,,,,,,,20px Giải Nobel Kinh tế (2007); Giải thưởng Nhà nước về Khoa học; Hoa Kỳ,,20px Minneapolis; Minnesota Mỹ,,,,,,,,,,,,,,,Đại học Minnesota,,
Lester R. Ford,https://vi.wikipedia.org/wiki/Lester_R._Ford,Đại học Harvard,Harvard University; Missouri State University,,,,Missouri,,L. R. Ford Jr; Margaret Houston Ford,,Charlottesville; Virginia,Maxime Bôcher,Edwin Beckenbach,,Mathematics,,Lester R. Ford.gif,180,,Ford circles,Lester Randolph Ford Sr,American,,,,,,,,,,,,,United States,,,,,,,,,,,,,,,Mathematical Association of America; Rice University,,
Levi Woodbury,https://vi.wikipedia.org/wiki/Levi_Woodbury,Đại học Dartmouth,,,,,Francestown; Hoa Kỳ; New Hampshire,,,,Hoa Kỳ; New Hampshire; Portsmouth,,,,,,Levi Woodbury.jpg,,220px,,Levi Woodbury,,,Thẩm phán Tòa án Tối cao Hoa Kỳ,Bộ trưởng Ngân khố Hoa Kỳ thứ 13,Bộ trưởng Hải quân Hoa Kỳ thứ 9,Đảng Dân Chủ (Hoa Kỳ),Joseph Story,Roger Brooke Taney,John Branch,Samuel Bell,,,,,Levi Woodbury Signature.svg,,Benjamin Curtis,Sr; Thomas Ewing,Mahlon Dickerson,David Morril,4 tháng 9 năm 1851,4 tháng 3 năm 1841,30 tháng 6 năm 1834,3 tháng 6 năm 1824,20 tháng 9 năm 1845,1 tháng 7 năm 1834,23 tháng 5 năm 1831,5 tháng 6 năm 1823,,,
Lila Downs,https://vi.wikipedia.org/wiki/Lila_Downs,Đại học Minnesota,,,México; Oaxaca; Tlaxiaco,Ana Lila Downs Sánchez,,June 2007. Luminato - Masters of World Music,,,,,,,,,Lila Downs.jpg,,,,Lila Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln LaPaz,https://vi.wikipedia.org/wiki/Lincoln_LaPaz,Đại học Harvard,,,,,Kansas; Mỹ; Wichita,,,,Albuquerque; Mỹ; New Mexico,,,,Khí tượng học; Thiên văn học,,,,,,Lincoln LaPaz,Mỹ,,,,,,,,,,,,,Albuquerque; Mỹ; New Mexico,,,,,,,,,,,,,,,,,
Linda B. Buck,https://vi.wikipedia.org/wiki/Linda_B._Buck,Đại học Columbia,Seattle; Đại học Washington,,,,Seattle; Washington,,,,,,,,Sinh học,,LindaBuck cropped 1.jpg,,,olfactory receptor (''cơ quan thụ cảm khứu giác''),Linda B. Buck,Mỹ,,,,,,,,,,,Giải Nobel Sinh lý; Y khoa (2004),,,,,,,,,,,,,,,,,,Seattle; Trung tâm nghiên cứu Ung thư Fred; Viện Y học Howard Hughes; Đại học Columbia; Đại học Harvard<ref> </ref>; Đại học Washington,
Lisa Murkowski,https://vi.wikipedia.org/wiki/Lisa_Murkowski,Đại học Georgetown,,,,Lisa Ann Murkowski,Hoa Kỳ; Ketchikan; Lãnh thổ Alaska,,,,,,,"Đại học Georgetown (BA); Đại học Willamette (JD<ref name=""TS luật""/>)",,,Lisa Murkowski official photo.jpg,,,,Lisa Murkowski,,,,Chủ tịch Ủy ban Tài nguyên; Năng lượng Thượng viện,Phó Chủ tịch Hội nghị Cộng hòa Thượng viện,Đảng Cộng hòa,Frank Murkowski,Mary Landrieu,John Thune,Terry Martin,,,,,LisaMurkowskiSignature.png,,,,John Barrasso,Vic Kohring,,,17 tháng 9 năm 2010,20 tháng 12 năm 2002,20 tháng 12 năm 2002,3 tháng 1 năm 2015,17 tháng 6 năm 2009,19 tháng 1 năm 1999,,,
Lisa Randall,https://vi.wikipedia.org/wiki/Lisa_Randall,Đại học Harvard,Đại học Harvard,,18 tháng 6 năm 1962,,,Lisa Randall tại Đại học Harvard,,,,Howard Georgi,,,Vật lý lý thuyết,,LisaRandallRed.JPG,,,,Lisa Randall,20px Hoa Kỳ,,,,,,,,,,,Giải Lilienfeld (2007),,20px Hoa Kỳ,,,,,,,,,,,,,,,Học viện Công nghệ Massachusetts; Phòng Thí nghiệm Quốc gia Lawrence Berkeley; Đại học California tại Berkeley; Đại học Harvard; Đại học Princeton,,
Lloyd Berkner,https://vi.wikipedia.org/wiki/Lloyd_Berkner,Đại học Minnesota,Cử nhân Khoa học 1927; Đại học Minnesota,William Bowie Medal,,,Milwaukee; Mỹ; Wisconsin,,,,D.C; Washington,,,,,Địa vật lý,,,,giáo dục; khí tượng học; nhiều công việc khác nhau trong ngành hàng không; Đề xuất Năm Địa vật lý Quốc tế năm 1957-1958,Lloyd Viel Berkner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lloyd Shapley,https://vi.wikipedia.org/wiki/Lloyd_Shapley,Đại học Harvard,Đại học Harvard; Đại học Princeton,Giải Nobel Kinh tế (2012),,Lloyd Stowell Shapley,Cambridge; Hoa Kỳ; Massachusetts,1980; Lloyd Shapley,,,Arizona; Hoa Kỳ; Tucson,Albert W. Tucker,,,Kinh tế học; Toán học,,Lloyd (1923).jpeg; Shapley,,,& theorem; Bondareva–Shapley theorem; Shapley value; Shapley–Folkman lemma; Shapley–Shubik power index; Thuật toán Gale–Shapley; cốt lõi; hạt nhân; nucleolus; phân phối quyền; stochastic games; trò chơi không nguyên tử; trò chơi thị trường; trò chơi tiềm năng,,Hoa Kỳ,,,,,,,,,,,Giải lý luận John von Neumann,,Hoa Kỳ,,,,,,,,,,,,,,,(Emeritus 2000đến nay); 1943–45; 1948–49; 1953–54; 1954–81; 1981 đến nay; Los Angeles; Rand Corporation; US Army; Đại học California; Đại học Princeton,,
Lotfi A. Zadeh,https://vi.wikipedia.org/wiki/Lotfi_A._Zadeh,Viện Công nghệ Massachusetts,Đại học Columbia; Đại học Tehran,ACM Fellow; IEEE Medal of Honor,,Lotfi Aliaskerzadeh,Baku; Xô viết Azerbaijan,(2005),,,,,Joseph Goguen,,Toán học; kỹ thuật điện; trí tuệ nhân tạo,,L.A. 2005.jpg; Zadeh,,,Cha đẻ của toán học mờ; logic mờ; lý thuyết tập mờ,,,,,,,,,,,,,,,Hoa Kỳ,,,,,,,,,,,,,,,Đại học California tại Berkeley,,
Lucas Papademos,https://vi.wikipedia.org/wiki/Lucas_Papademos,Viện Công nghệ Massachusetts,Học viện Công nghệ Massachusetts,,,,Athens; Hy Lạp,,,,,,,,,,Lucas Papademos.jpg,,,,<small>Λουκάς Παπαδήμος</small>; Lucas Papademos,,,Thủ tướng Hy Lạp,,Phó chủ tịch Ngân hàng Trung ương châu Âu,Độc lập,George Papandreou,,Christian Noyer,Ioannis Boutos,Karolos Papoulias,,,Maximos Mansion,,Sana Ingram,Panagiotis Pikrammenos,,Vítor Constâncio,Nikolaos Garganas,16 tháng 05 năm 2012,,31 tháng 12 năm 2010,31 tháng 5 năm 2002,11 tháng 11 năm 2011,,31 tháng 5 năm 2002,26 tháng 10 năm 1994,,,
Luis Guillermo Solís,https://vi.wikipedia.org/wiki/Luis_Guillermo_Sol%C3%ADs,Đại học Michigan,Ann; Arbor; Đại học Costa Rica; Đại học Michigan; Đại học Tulane,,,,Costa Rica; San José,,,,,,,,,,President Luis Guillermo Solis.jpg,,,,Luis Guillermo Solís,,,Tổng thống Costa Rica,,,Đảng Giải phóng Dân tộc; Đảng Hành động Công dân,Laura Chinchilla,,,,,,Công giáo Rôma,,,Nancy Richards,Carlos Alvarado Quesada,,,,8 tháng 5 năm 2018,,,,8 tháng 5 năm 2014,,,,,,
Luna Leopold,https://vi.wikipedia.org/wiki/Luna_Leopold,Đại học Harvard,Wisconsin; Đại học California tại Los Angeles; Đại học Harvard; Đại học Madison,,8 tháng 10 năm 1915,,Albuquerque; New Mexico,Luna B. Leopold; vào khoảng năm 1971,,23 tháng 2 năm 2006,Berkeley; California,,,,Địa mạo học,,Dr Luna B Leopold.jpg,,,,"""Luna B. Leopold""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đại học California tại Berkeley,,
Lý Bảo Đông,https://vi.wikipedia.org/wiki/L%C3%BD_B%E1%BA%A3o_%C4%90%C3%B4ng,Đại học Johns Hopkins,Đại học Johns Hopkins; Đại học Ngoại ngữ Bắc Kinh,,,,Bắc Kinh; Trung Quốc,Lý Bảo Đông năm 2016,,,,,,,,,Li Baodong - 2016.jpg,,200px,,Lý Bảo Đông,,,,Thứ trưởng Bộ Ngoại giao,Đại diện thường trực Trung Quốc tại Liên Hợp Quốc,Đảng Cộng sản Trung Quốc,,,Trương Nghiệp Toại,,,,,,,,,,Lưu Kết Nhất,,,Tháng 5 năm 2018,23 tháng 8 năm 2013,2009,,Tháng 8 năm 2013,4 tháng 3 năm 2010,2006,,,
Lý Lệ Phúc,https://vi.wikipedia.org/wiki/L%C3%BD_L%E1%BB%87_Ph%C3%BAc,Viện Công nghệ Massachusetts,,,,,Changdong; Nhà Thanh; Trực Lệ,Lý Lệ Phúc tại trạm thử nghiệm radio của Viện Công nghệ Massachusetts năm 1925,,</ref>}},Chicago; Hoa Kỳ; Illinois,,,,,,1925 (MIT Museum) - Restoration.jpg; Li Fu Lee at the Massachusetts Institute of Technology's radio experiment station,,,Là người phụ nữ Trung Quốc đầu tiên nhập học tại MIT,,,,,,,,,,,,,,,,,Quan Đông ( ),,,,,,,,,,,,,,,
Lý Thừa Vãn,https://vi.wikipedia.org/wiki/L%C3%BD_Th%E1%BB%ABa_V%C3%A3n,Đại học Harvard,Đại học George Washington <small>(B.A.)</small>; Đại học Harvard <small>(M.A.)</small>; Đại học Princeton <small>(Ph.D.)</small>,,26 tháng 3 năm 1875,Rhee Syngman,<small>(nay là Bắc Hwanghae; Hwanghae; Pyongsan; Triều Tiên)</small>; Vương quốc Triều Tiên,Chân dung chính thức; năm 1948,Rhee Bong-su hoặc 이봉수(1898–1908); Rhee In-soo (Yi In-su) hoặc 이인수 (sinh năm 1931; nhận nuôi),19 tháng 7 năm 1965 (90 tuổi),Hawaii; Hoa Kỳ; Honolulu,,,,,,Rhee Syng-Man in 1948.jpg,,250px,,Lý Thừa Vãn,,,Tổng thống Đại Hàn Dân Quốc,Chủ tịch Quốc hội Đại Hàn Dân Quốc,,Đảng Hàn Quốc Tự do,''Bản thân'' (Chủ tịch Hội đồng Nhà nước Chính phủ Lâm thời Đại Hàn Dân Quốc),''Chức vụ được thành lập'',Kim Koo,''Chức vụ được thành lập'',,,,,Syngman Rhee Signature.svg,"Francesca Donner (1934–1965)<ref name=""Walnut""> </ref>; Seungseon Park (1890–1910)",Yun Bo-seon,Shin Ik-hee,''Bản thân'' (Tổng thống Hàn Quốc),Park Eunsik,26 tháng 4 năm 1960,24 tháng 7 năm 1948,15 tháng 8 năm 1948,23 tháng 3 năm 1925,24 tháng 7 năm 1948,31 tháng 5 năm 1948,3 tháng 3 năm 1947,11 tháng 9 năm 1919,,,
Lý Trị Học,https://vi.wikipedia.org/wiki/L%C3%BD_Tr%E1%BB%8B_H%E1%BB%8Dc,Đại học Minnesota,Đại học Minnesota; Đại học Đài Loan,,1937,,Đài Loan thuộc Nhật,,,,Trung Chính; Đài Bắc,,,,,,李治學肖像.png,,,,Lý Trị Học,Đài Loan（1945－1995）; Đế quốc Nhật Bản (1937－1945）,Bác sĩ phẫu thuật; giáo sư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lương Nhị Kỳ,https://vi.wikipedia.org/wiki/L%C6%B0%C6%A1ng_Nh%E1%BB%8B_K%E1%BB%B3,Đại học Michigan,,,,,Liên bang Đông Dương; Nam Kỳ; Tây Ninh,,,,Paris; Pháp,,,,,,,,,,Lương Nhị Kỳ,,Nhà ngoại giao; chuyên gia phát triển,Tổng Lãnh sự Việt Nam Cộng hòa tại San Francisco,,,,''Chức vụ được lập'',,,,,,,,,,Diệp Quang Hồng,,,,1972,,,,1967,,,,,,
Machimura Nobutaka,https://vi.wikipedia.org/wiki/Machimura_Nobutaka,Đại học Wesleyan,Đại học Tokyo; Đại học Wesleyan,,,,Numazu; Đế quốc Nhật Bản,,,,Nhật Bản; Tokyo,,,,,,Machimura Nobutaka 2015.jpg,,250px,,Machimura Nobutaka,,,,,,,Ibuki Bunmei,Yosano Kaoru,Asō Tarō,Kawaguchi Yoriko,,,,,,,Ōshima Tadamori,Kawamura Takeo,Kōmura Masahiko,Asō Tarō,21 tháng 4 năm 2015,24 tháng 9 2008,26 tháng 9 năm 2007,21 tháng 9 năm 2005,24 tháng 12 năm 2014,26 tháng 9 năm 2007,27 tháng 8 năm 2007,27 tháng 9 năm 2004,,,
Madeleine K. Albright,https://vi.wikipedia.org/wiki/Madeleine_K._Albright,Đại học Johns Hopkins,,,15 tháng 5; 1937,,"Praha; Tiệp Khắc<ref name=""birth"">[http://www.washingtonpost.com/wp-srv/politics/govt/admin/albright.htm Biography at The Washington Post]</ref>",,,,D.C; Hoa Kỳ; Washington,,,,,,Albrightmadeleine.jpg,,220px,,Madeleine Albright,,,Ngoại trưởng Hoa Kỳ thứ 64,,Đại sứ Hoa Kỳ tại Liên Hợp Quốc thứ 21,Dân chủ,Warren Christopher,,Edward J. Perkins,,,,Công hội Thánh,,Madeleine Albright Signature.svg,,Colin Powell,,Bill Richardson,,20 tháng 1 năm 2001,,21 tháng 1 năm 1997,,23 tháng 1 năm 1997,,27 tháng 1 năm 1993,,,,
Mahbub ul Haq,https://vi.wikipedia.org/wiki/Mahbub_ul_Haq,Đại học Yale,Cambridge (B.A.); King's College; University of Punjab (B.S.); Yale University (Ph.D.),,,,Tỉnh Punjab; Ấn Độ thuộc Anh,,,,Hoa Kỳ; New York; New York City,,,,,,,,,,Mahbub ul Haq,Pakistani,,Bộ trưởng Bộ Tài chính; Doanh thu & Kinh tế thứ 14,,,,Yasin Wattoo,Ghulam Ishaq Khan,,,Ghulam Ishaq Khan,,,,,Khadija Haq,Ehsan-ul-Haq Piracha,Yasin Wattoo,,,,,,,,,,,,,
Manjul Bhargava,https://vi.wikipedia.org/wiki/Manjul_Bhargava,Đại học Harvard,Đại học Harvard; Đại học Princeton,Clay Research Award (2005); Cole Prize (2008); Fermat Prize (2011); Hasse Prize (2003); Hoopes Prize (1996); Huy chương Fields (2014); Infosys Prize (2012); Morgan Prize (1996); SASTRA Ramanujan Prize (2005),,,Hamilton; Ontario,,,,,Andrew Wiles,Melanie Wood; Michael Volpato,,,,Manjul_Bhargava_FieldsMedal.jpg,,,15 and 290 theorems; Gauss composition laws; factorial function; ranks of elliptic curves,Manjul Bhargava,Canada; Hoa Kỳ,,,,,,,,,,,,Hindu,,,,,,,,,,,,,,,,,,Đại học Leiden; Đại học Princeton
Margaret Atwood,https://vi.wikipedia.org/wiki/Margaret_Atwood,Đại học Harvard,,,,Margaret Eleanor Atwood,Canada; Ontario; Ottawa,Margaret Atwood tại 2011 Writers' Trust Gala,,,,,,Đại học Harvard (Thạc sĩ Nghệ thuật); Đại học Toronto (Cử nhân Khoa học Xã hội),,,Atwood123.jpg,,,,,,,,,,,,,,,,,,,Margaret Atwood signature.svg,,,,,,,,,,,,,,,,
Mario Capecchi,https://vi.wikipedia.org/wiki/Mario_Capecchi,Đại học Harvard,Antioch College; Ohio; Đại học Harvard,,,,Verona,,,,,,,,Genetics,,Mario Capecchi UTHSCSA.JPG,,,Knockout mouse,Mario Capecchi,,,,,,,,,,,,20px Giải Nobel Y học (2007); Giải Albert Lasker cho nghiên cứu Y học cơ bản (2001); Giải Alfred P. Sloan; Giải Eli Lilly về Hóa Sinh (1969); Giải Wolf về Y học (2002); Jr. (1995),,,,,,,,,,,,,,,,,,Khoa y Đại học Harvard; Đại học Utah,
Mario Draghi,https://vi.wikipedia.org/wiki/Mario_Draghi,Viện Công nghệ Massachusetts,Massachusetts Institute of Technology; Đại học Sapienza Roma,,,,Roma,,,,,,,,,,Mario Draghi 2021 (cropped).jpg,,220px,,Mario Draghi,,,Thủ tướng thứ 59 của Ý,Chủ tịch Ngân hàng Trung ương châu Âu,Chủ tịch Ủy ban bình ổn tài chính,,Giuseppe Conte,Jean-Claude Trichet,Chức vụ được thiết lập,Antonio Fazio,Sergio Mattarella,,,,Mario Draghi signature.svg,,Giorgia Meloni,Christine Lagarde,Mark Carney,Ignazio Visco,22 tháng 10 năm 2022,31 tháng 10 năm 2019,4 tháng 11 năm 2011,31 tháng 10 năm 2011,13 tháng 2 năm 2021,1 tháng 11 năm 2011,2 tháng 4 năm 2009,29 tháng 12 năm 2005,,,
Mario Monti,https://vi.wikipedia.org/wiki/Mario_Monti,Đại học Yale,Đại học Bocconi; Đại học Yale,,19 tháng 3 năm 1943 (  tuổi),,Lombardy; Varese; Vương quốc Ý,,,,,,,,,,Mario Monti datisenato 2018.jpg,,220px,,Mario Monti,,,Thượng Nghị sĩ,Thủ tướng thứ 54 của Ý,Bộ trưởng Kinh tế; Tài chính,Civic Choice; Độc lập  }},,Silvio Berlusconi,Giulio Tremonti,Karel Van Miert,,,,,Mario Monti signature.svg,,,Enrico Letta,Vittorio Grilli,Neelie Kroes,,28 tháng 4 năm 2013,11 tháng 7 năm 2012,30 tháng 10 năm 2004,9 tháng 11 năm 2011,16 tháng 11 năm 2011,16 tháng 11 năm 2011,15 tháng 9 năm 1999,,,
Marisol Argueta de Barillas,https://vi.wikipedia.org/wiki/Marisol_Argueta_de_Barillas,Đại học Harvard,,,,,,Argueta de Barillas tại Diễn đàn Kinh tế thế giới ở Mỹ Latin năm 2009,,,,,,,,,Marisol Argueta de Barillas; World Economic Forum on Latin America 2009.jpg,,,,Marisol Argueta de Barillas,,,,,,,Francisco Laínez,,,,,,,,,,Hugo Martínez,,,,1 tháng 6 năm 2009,,,,16 tháng 1 năm 2008,,,,,,
Marissa Mayer,https://vi.wikipedia.org/wiki/Marissa_Mayer,Đại học Stanford,,,,Marissa Ann Mayer,Wausau; Wisconsin,Mayer tại Diễn đàn Kinh tế thế giới năm 2013,,,,,,,,,Marissa Mayer; World Economic Forum 2013 III.jpg,,,,Marissa Mayer,,Đồng sáng lập Sunshine Contacts<ref> </ref><ref> </ref>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Levine (chính khách Virginia),https://vi.wikipedia.org/wiki/Mark_Levine_%28ch%C3%ADnh_kh%C3%A1ch_Virginia%29,Đại học Harvard,Yale Law School <small>(J.D.)</small>; Đại học Harvard <small>(A.B.)</small>; Đại học Neuchâtel <small>(Fulbright)</small>,,,Mark H. Levine,Hoa Kỳ; Nashville; Tennessee,''Mark Levine tại Old Town Alexandria; Virginia'',,,,,,,,,File:Mark Levine in Old Town Alexandria VA.jpg,,,,Mark Levine,,,,,,Dân chủ,,,,,,,,Alexandria; Virginia,,,,,,,,,,,13 tháng 1 năm 2016,,,,,,
Mark Takano,https://vi.wikipedia.org/wiki/Mark_Takano,Đại học Harvard,,,,Mark Allan Takano,California; Hoa Kỳ; Riverside,,,,,,,Riverside (MFA); Đại học California; Đại học Harvard (AB),,,Mark Takano 113th Congress - full.jpg,,,,Mark Takano,,,Chủ tịch Ủy ban Cựu chiến binh Hạ viện,,,Dân chủ (1983–nay); Đảng Cộng hòa (Trước 1983),Phil Roe,Thành lập (vẽ lại biên giới),,,,,,,,,,,,,,,,,3 tháng 1 năm 2019,3 tháng 1 năm 2013,,,,,
Marko Liias,https://vi.wikipedia.org/wiki/Marko_Liias,Đại học Georgetown,Đại học Georgetown (BA),,,,Edmonds; Hoa Kỳ; Washington,,,,,,,,,,,,,,Marko Liias,,,,,,Dân chủ,Paull Shin,Brian J. Sullivan,,,,,,,,,,Lillian Ortiz-Self,,,,22 tháng 1 năm 2014,,,22 tháng 1 năm 2014,Tháng 1 năm 2008,,,,,
